day,week,month,quarter,semester,year
1,1,1,1,1,2023
2,1,1,1,1,2023
3,1,1,1,1,2023
4,1,1,1,1,2023
5,1,1,1,1,2023
6,1,1,1,1,2023
7,1,1,1,1,2023
8,2,1,1,1,2023
9,2,1,1,1,2023
10,2,1,1,1,2023
11,2,1,1,1,2023
12,2,1,1,1,2023
13,2,1,1,1,2023
14,2,1,1,1,2023
15,3,1,1,1,2023
16,3,1,1,1,2023
17,3,1,1,1,2023
18,3,1,1,1,2023
19,3,1,1,1,2023
20,3,1,1,1,2023
21,3,1,1,1,2023
22,4,1,1,1,2023
23,4,1,1,1,2023
24,4,1,1,1,2023
25,4,1,1,1,2023
26,4,1,1,1,2023
27,4,1,1,1,2023
28,4,1,1,1,2023
29,5,1,1,1,2023
30,5,1,1,1,2023
31,5,1,1,1,2023
1,5,2,1,1,2023
2,5,2,1,1,2023
3,5,2,1,1,2023
4,5,2,1,1,2023
5,6,2,1,1,2023
6,6,2,1,1,2023
7,6,2,1,1,2023
8,6,2,1,1,2023
9,6,2,1,1,2023
10,6,2,1,1,2023
11,6,2,1,1,2023
12,7,2,1,1,2023
13,7,2,1,1,2023
14,7,2,1,1,2023
15,7,2,1,1,2023
16,7,2,1,1,2023
17,7,2,1,1,2023
18,7,2,1,1,2023
19,8,2,1,1,2023
20,8,2,1,1,2023
21,8,2,1,1,2023
22,8,2,1,1,2023
23,8,2,1,1,2023
24,8,2,1,1,2023
25,8,2,1,1,2023
26,9,2,1,1,2023
27,9,2,1,1,2023
28,9,2,1,1,2023
1,9,3,1,1,2023
2,9,3,1,1,2023
3,9,3,1,1,2023
4,9,3,1,1,2023
5,10,3,1,1,2023
6,10,3,1,1,2023
7,10,3,1,1,2023
8,10,3,1,1,2023
9,10,3,1,1,2023
10,10,3,1,1,2023
11,10,3,1,1,2023
12,11,3,1,1,2023
13,11,3,1,1,2023
14,11,3,1,1,2023
15,11,3,1,1,2023
16,11,3,1,1,2023
17,11,3,1,1,2023
18,11,3,1,1,2023
19,12,3,1,1,2023
20,12,3,1,1,2023
21,12,3,1,1,2023
22,12,3,1,1,2023
23,12,3,1,1,2023
24,12,3,1,1,2023
25,12,3,1,1,2023
26,13,3,1,1,2023
27,13,3,1,1,2023
28,13,3,1,1,2023
29,13,3,1,1,2023
30,13,3,1,1,2023
31,13,3,1,1,2023
1,13,4,2,1,2023
2,14,4,2,1,2023
3,14,4,2,1,2023
4,14,4,2,1,2023
5,14,4,2,1,2023
6,14,4,2,1,2023
7,14,4,2,1,2023
8,14,4,2,1,2023
9,15,4,2,1,2023
10,15,4,2,1,2023
